nom;latitude;longitude;taille;nationalite;type;profondeur
Morse;34.4166666666667;11.0833333333333;inconnue;Française;Sous-marin;24m
PLM 20;35.4333333333333;11.1166666666667;inconnue;Française;Navire marchand;50m
ARMANDO DIAZ;34.55;11.75;169.3 X 15.5 X 4.3;Italienne;Croiseur léger;47m
ZENA;34.8666666666667;12.3666666666667;114.4 X 15.8 X 9.1;Italienne;Navire de transport;40m
ARAB;37.55;9.3;114.3 X 14.11 X 6.22;Britannique;Naviré à vapeur;200m
ALGA;33.8508333333333;11.1158333333333;79.52 X13.29 X 5.73;Italienne;Cargo à vapeur;18m
HIGHLAND PRICE;37.5333333333333;11.5333333333333;102.3 X 14.6;Britannique;Bateau à vapeur;700m
LISBOA;35.8936111111111;10.65;84.6 X 12 X 5.5;Allemande;Navire;40m
MARC;37.0166666666667;8.61666666666667;95.7 X 13.4 X 8;Française;Navire à vapeur;75m
ARIOSTO;35.6166666666667;11.1666666666667;111.34 X 14.69 X 5.43;Italienne;Cargo à vapeur;50m
NAPOLI;36.45;11.05;144.1 X 19.1;Italienne;Cargo à vapeur;12m
NITA;35.3422222222222;12.5455555555556;131.7 X 16.6 X 8.05;Italienne;Cargo;50m
METAPAN SS;37.3666666666667;10.6166666666667;120.1 X 15.4 X 7.5;Américain;Navire réfrigérateur;190m
GLENORCHY;36.7333333333333;11.1;154.5 X 20.2 X 9.5;Britannique;Cargo à moteur;57m
HMS MANCHESTER;36.8188888888889;11.1855555555556;180.14 X 19.6 X 6.1;Britannique;Croiseur;entre 63 et 82m
HMS TIGRIS;37.0666666666667;8.86666666666667;84.3 X 7.8 X 5;Britannique;Sous-marin;70m
CMPO BASSO;36.8666666666667;11.2333333333333;108.6 X 14.8 X 7.3;Anglaise;Cargo à vapeur;70m
ENGLAND;36.3333333333333;11.2833333333333;109.7  X 15.5 X 7.3;Britannique;Cargo;110m
VRONTADOS;36.6666666666667;11.2041666666667;91.6 X 11.7 X 6.3;Grecque;Cargo à vapeur;85m
LAMPO;36.8333333333333;11.25;96.16 X 9.3 X 3.11;Italienne;Destroyer;70m
S-35;37.0666666666667;8.86666666666667;32.76 X 5.06 X 1.47;Allemande;Vedette;72m
MV JUVENTUS;35.9672222222222;11.1;120.2 X 15.8 X 8.4;Italienne;Cargo;40m
LEONARDO PALOMBA;35.75;11.1833333333333;64.6 X 10.7 X 4.4;Italienne;Cargo;51m
MARIGOLA;35.7502777777778;11.0880555555556;133.8 X 16.5 X 9.4;Italienne;Cargo à vapeur;30m
PARNASSOS;37.3166666666667;9.86666666666667;129.8 x 16.5 x 16.5;Grecque;Cargo;14m
SURVILLE;36.9575;11.1033333333333;88.5 x 13.4 x 6.3;Français;Cargo;8m
LEON PANCALDO;37.1166666666667;11.05;107 x 10.2 x 3.5;Italien;Destroyer;50m
SACRO CUORE;35.9;10.85;64.8 x 10.7 x 4.2;Italien;Navire marchand;63m
CORALLO;37.0666666666667;8.86666666666667;60.18x6.45x4.66;Italien;Sous-marin;75m
CICLONE;37.2;11.1833333333333;83.5 x 9.4 x 2.4;Italien;Torpilleur;200m
WAIRANGI;36.5666666666667;11.2666666666667;163.5 x 21.46 x 9.88;Britannique;Cargo à vapeur;120m
HERAKLIA;35.5833333333333;11.2;87.7 x 12.7 x 7.8;Allemand;Cargo à vapeur;57m
SNA-7;37.5508333333333;11.39;91.4 x 14.6 x 5.7 ;Français;Cargo à vapeur;74m
PAOLINA;37.0166666666667;11.1333333333333;128.8 x 16.8 x 7.7;Italien;Cargo;65m
MAS-552;37.1833333333333;10.8;18.7mx14.6m;Italien;Vedette;125m
SS STEELVILLE;38.7883333333333;13.1033333333333;195.8 x 15;Britannique;Cargo;280m
IAN PACE;37.1333333333333;11.05;50.3 x 8.3 x 3.1;Britannique;Cargo;40m
ALBERICO DA BARBIANO;37.1;11.0333333333333;169.2 x 15.5 x 5.2 m;Italien;Croiseur léger;70m
OMARA;37.0833333333333;10.95;50 X 7.5;Français;Cargo à vapeur;30m
TANIS;37.1833333333333;10.8166666666667;106.8 X 15.6;Britannique;Cargo à vapeur;125m
ELGO;36.9833333333333;11.2;84.3 X13 X  5.5;Suedois;Cargo à vapeur;70m
